date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2020-01-15,Maize (white) - Retail,KG,cereals and tubers,1100.0,UGX,Uganda,Amudat,744,Karita,2346,67,15,5,1,2346_67_15_5,
2020-02-15,Maize (white) - Retail,KG,cereals and tubers,1000.0,UGX,Uganda,Amudat,744,Karita,2346,67,15,5,1,2346_67_15_5,
2019-06-15,Millet - Retail,KG,cereals and tubers,3500.0,UGX,Uganda,Amudat,744,Karita,2346,73,15,5,1,2346_73_15_5,
2019-07-15,Millet - Retail,KG,cereals and tubers,3500.0,UGX,Uganda,Amudat,744,Karita,2346,73,15,5,1,2346_73_15_5,
2019-08-15,Millet - Retail,KG,cereals and tubers,3500.0,UGX,Uganda,Amudat,744,Karita,2346,73,15,5,1,2346_73_15_5,
2019-09-15,Millet - Retail,KG,cereals and tubers,3000.0,UGX,Uganda,Amudat,744,Karita,2346,73,15,5,1,2346_73_15_5,
2019-10-15,Millet - Retail,KG,cereals and tubers,1550.0,UGX,Uganda,Amudat,744,Karita,2346,73,15,5,1,2346_73_15_5,
2019-11-15,Millet - Retail,KG,cereals and tubers,1500.0,UGX,Uganda,Amudat,744,Karita,2346,73,15,5,1,2346_73_15_5,
2018-11-15,Cassava flour - Retail,KG,cereals and tubers,1500.0,UGX,Uganda,Amudat,744,Karita,2346,74,15,5,1,2346_74_15_5,
2018-12-15,Cassava flour - Retail,KG,cereals and tubers,1500.0,UGX,Uganda,Amudat,744,Karita,2346,74,15,5,1,2346_74_15_5,
2019-04-15,Cassava flour - Retail,KG,cereals and tubers,1800.0,UGX,Uganda,Amudat,744,Karita,2346,74,15,5,1,2346_74_15_5,
2019-05-15,Cassava flour - Retail,KG,cereals and tubers,1800.0,UGX,Uganda,Amudat,744,Karita,2346,74,15,5,1,2346_74_15_5,
2019-06-15,Cassava flour - Retail,KG,cereals and tubers,2500.0,UGX,Uganda,Amudat,744,Karita,2346,74,15,5,1,2346_74_15_5,
2019-07-15,Cassava flour - Retail,KG,cereals and tubers,2500.0,UGX,Uganda,Amudat,744,Karita,2346,74,15,5,1,2346_74_15_5,
2019-08-15,Cassava flour - Retail,KG,cereals and tubers,1500.0,UGX,Uganda,Amudat,744,Karita,2346,74,15,5,1,2346_74_15_5,
2019-09-15,Cassava flour - Retail,KG,cereals and tubers,900.0,UGX,Uganda,Amudat,744,Karita,2346,74,15,5,1,2346_74_15_5,
2019-10-15,Cassava flour - Retail,KG,cereals and tubers,2000.0,UGX,Uganda,Amudat,744,Karita,2346,74,15,5,1,2346_74_15_5,
2019-11-15,Cassava flour - Retail,KG,cereals and tubers,2000.0,UGX,Uganda,Amudat,744,Karita,2346,74,15,5,1,2346_74_15_5,
2020-01-15,Cassava flour - Retail,KG,cereals and tubers,1500.0,UGX,Uganda,Amudat,744,Karita,2346,74,15,5,1,2346_74_15_5,
2020-02-15,Cassava flour - Retail,KG,cereals and tubers,1850.0,UGX,Uganda,Amudat,744,Karita,2346,74,15,5,1,2346_74_15_5,
2018-10-15,Maize flour - Retail,KG,cereals and tubers,2000.0,UGX,Uganda,Amudat,744,Karita,2346,76,15,5,1,2346_76_15_5,
2018-11-15,Maize flour - Retail,KG,cereals and tubers,2000.0,UGX,Uganda,Amudat,744,Karita,2346,76,15,5,1,2346_76_15_5,
2018-12-15,Maize flour - Retail,KG,cereals and tubers,2000.0,UGX,Uganda,Amudat,744,Karita,2346,76,15,5,1,2346_76_15_5,
2019-01-15,Maize flour - Retail,KG,cereals and tubers,2000.0,UGX,Uganda,Amudat,744,Karita,2346,76,15,5,1,2346_76_15_5,
2019-02-15,Maize flour - Retail,KG,cereals and tubers,2000.0,UGX,Uganda,Amudat,744,Karita,2346,76,15,5,1,2346_76_15_5,
2019-04-15,Maize flour - Retail,KG,cereals and tubers,2500.0,UGX,Uganda,Amudat,744,Karita,2346,76,15,5,1,2346_76_15_5,
2019-05-15,Maize flour - Retail,KG,cereals and tubers,2500.0,UGX,Uganda,Amudat,744,Karita,2346,76,15,5,1,2346_76_15_5,
